"任务名","任务路径","状态","下次运行","上次运行","上次结果","Execute","Arguments","起始目录","Execute是否存在","Execute类型","Execute解析路径","引用文件数量","存在文件数量","缺失文件数量","缺失文件","存在文件"
"ScissorsAutonomousHeartbeat","\","Ready","2026/6/23 18:46:55","2026/6/23 18:36:56","4294770688","powershell.exe","-ExecutionPolicy Bypass -File ""C:\Users\Deple\.openclaw\workspace\tasks\autonomous-heartbeat.ps1""","C:\Users\Deple\.openclaw\workspace","是","系统命令","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","1","0","1","C:\Users\Deple\.openclaw\workspace\tasks\autonomous-heartbeat.ps1",""
"小红书双开截流","\","Ready","2026/6/24 9:00:00","2026/6/23 9:00:01","0","""C:\Users\Deple\Desktop\traffic interception\red_note\src\run_xhs_5556_5558.bat""",,,"是","文件路径","C:\Users\Deple\Desktop\traffic interception\red_note\src\run_xhs_5556_5558.bat","1","1","0","","C:\Users\Deple\Desktop\traffic interception\red_note\src\run_xhs_5556_5558.bat"
"XHS_Stop_At_Midnight","\","Ready","2026/6/24 0:00:00","2026/6/23 10:18:21","255","C:\Users\Deple\Desktop\程序\小红书\每天0点停止小红书.bat",,,"是","文件路径","C:\Users\Deple\Desktop\程序\小红书\每天0点停止小红书.bat","1","1","0","","C:\Users\Deple\Desktop\程序\小红书\每天0点停止小红书.bat"
"WpsUpdateTask_Deple","\","Ready","2026/6/23 19:32:24","2026/6/23 18:32:25","0","D:\Program Files (x86)\WPS Office\ksolaunch.exe","/wpsupdate -from=task -source=task",,"是","文件路径","D:\Program Files (x86)\WPS Office\ksolaunch.exe","1","1","0","","D:\Program Files (x86)\WPS Office\ksolaunch.exe"
"WpsUpdateTask_jishu1","\","Ready","2026/6/23 19:39:34","2026/6/23 18:39:35","0","D:\Program Files (x86)\WPS Office\ksolaunch.exe","/wpsupdate -from=task -source=task",,"是","文件路径","D:\Program Files (x86)\WPS Office\ksolaunch.exe","1","1","0","","D:\Program Files (x86)\WPS Office\ksolaunch.exe"
"WpsWakeWnsLogonTask","\","Ready",,"2026/6/22 16:43:13","0","""D:\Program Files (x86)\WPS Office\\ksolaunch.exe""","Run addons/kpluginwrapper/kpluginwrapper.dll run_plugin -plugin_name=kmessagepushcenter -dll_name=kmessagepushcenter wake_wns",,"是","文件路径","D:\Program Files (x86)\WPS Office\ksolaunch.exe","1","1","0","","D:\Program Files (x86)\WPS Office\\ksolaunch.exe"
"RunPlatformExperienceHelper_Metrics","\GoogleUserPEH\","Ready","2026/6/25 13:27:17","1999/11/30 0:00:00","267011","""C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe""","--chrome-upload-metrics",,"是","文件路径","C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe","1","1","0","","C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe"
"UninstallDeviceTask","\Microsoft\Windows\Bluetooth\","Ready",,"1999/11/30 0:00:00","267011","BthUdTask.exe","$(Arg0)",,"是","文件路径","C:\WINDOWS\System32\BthUdTask.exe","0","0","0","",""
"UPnPHostConfig","\Microsoft\Windows\UPnP\","Ready",,"1999/11/30 0:00:00","267011","sc.exe","config upnphost start= auto",,"是","文件路径","C:\WINDOWS\System32\sc.exe","0","0","0","",""
"小红书截流守护","\","Ready","2026/6/23 19:00:00","2026/6/23 18:30:01","0","""C:\Users\Deple\Desktop\traffic interception\red_note\src\watch_xhs_5556_5558.bat""",,,"是","文件路径","C:\Users\Deple\Desktop\traffic interception\red_note\src\watch_xhs_5556_5558.bat","1","1","0","","C:\Users\Deple\Desktop\traffic interception\red_note\src\watch_xhs_5556_5558.bat"
"RunPlatformExperienceHelperOnUnlock","\GoogleUserPEH\","Ready",,"2026/6/23 13:27:15","0","""C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe""",,,"是","文件路径","C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe","1","1","0","","C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe"
"RunPlatformExperienceHelper_Daily","\GoogleUserPEH\","Ready","2026/6/23 18:55:13","2026/6/22 18:54:57","0","""C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe""",,,"是","文件路径","C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe","1","1","0","","C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe"
"WpsUpdateLogonTask_jishu1","\","Ready",,"2026/6/22 17:06:13","0","D:\Program Files (x86)\WPS Office\ksolaunch.exe","/wpsupdate -from=task -source=task",,"是","文件路径","D:\Program Files (x86)\WPS Office\ksolaunch.exe","1","1","0","","D:\Program Files (x86)\WPS Office\ksolaunch.exe"
"Launch Adobe CCXProcess","\","Ready","2026/6/24 16:43:00","2026/6/23 16:43:01","0","""C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe""",,,"是","文件路径","C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe","1","1","0","","C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe"
"NVIDIA App SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","\","Ready",,"1999/11/30 0:00:00","267011","""C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA App.exe""",,"C:\Program Files\NVIDIA Corporation\NVIDIA App","是","文件路径","C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA App.exe","1","1","0","","C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA App.exe"
"DoubleWechatLike_Stop_0000","\","Ready","2026/6/24 0:00:00","1999/11/30 0:00:00","267011","C:\Users\Deple\Desktop\程序\微信\stop_double_wechat_like.bat",,,"是","文件路径","C:\Users\Deple\Desktop\程序\微信\stop_double_wechat_like.bat","1","1","0","","C:\Users\Deple\Desktop\程序\微信\stop_double_wechat_like.bat"
"DoubleWechatLike_Start_0800","\","Ready","2026/6/24 8:00:00","1999/11/30 0:00:00","267011","C:\Users\Deple\Desktop\程序\微信\双微信朋友圈点赞_点击.bat",,,"是","文件路径","C:\Users\Deple\Desktop\程序\微信\双微信朋友圈点赞_点击.bat","1","1","0","","C:\Users\Deple\Desktop\程序\微信\双微信朋友圈点赞_点击.bat"
"OneDrive Startup Task-S-1-5-21-2400464376-1604092282-1729554545-1001","\","Ready",,"2026/6/22 16:52:13","0","C:\Users\Deple\AppData\Local\Microsoft\OneDrive\26.098.0524.0004\OneDriveLauncher.exe","/startInstances",,"是","文件路径","C:\Users\Deple\AppData\Local\Microsoft\OneDrive\26.098.0524.0004\OneDriveLauncher.exe","1","1","0","","C:\Users\Deple\AppData\Local\Microsoft\OneDrive\26.098.0524.0004\OneDriveLauncher.exe"
"WpsUpdateLogonTask_Deple","\","Ready",,"2026/6/22 17:02:13","0","D:\Program Files (x86)\WPS Office\ksolaunch.exe","/wpsupdate -from=task -source=task",,"是","文件路径","D:\Program Files (x86)\WPS Office\ksolaunch.exe","1","1","0","","D:\Program Files (x86)\WPS Office\ksolaunch.exe"
"TikTokStop","\","Ready","2026/6/24 0:00:00","1999/11/30 0:00:00","267011","cmd.exe","/c C:\Users\Deple\Desktop\程序\抖音\stop_tiktok.bat",,"是","文件路径","C:\WINDOWS\System32\cmd.exe","1","1","0","","C:\Users\Deple\Desktop\程序\抖音\stop_tiktok.bat"
"OpenClaw Gateway","\","Ready",,"2026/6/22 16:42:13","3221225786","C:\Users\Deple\.openclaw\gateway.cmd",,,"是","文件路径","C:\Users\Deple\.openclaw\gateway.cmd","1","1","0","","C:\Users\Deple\.openclaw\gateway.cmd"
"TikTokStart","\","Ready","2026/6/24 9:00:00","1999/11/30 0:00:00","267011","cmd.exe","/c C:\Users\Deple\Desktop\程序\抖音\run_tiktok.bat",,"是","文件路径","C:\WINDOWS\System32\cmd.exe","1","1","0","","C:\Users\Deple\Desktop\程序\抖音\run_tiktok.bat"
"PrintJobCleanupTask","\Microsoft\Windows\Printing\","Disabled","2026/6/26 12:00:00","2026/4/27 9:08:57","0",,,,"否","空","","0","0","0","",""
"AnalyzeSystem","\Microsoft\Windows\Power Efficiency Diagnostics\","Ready",,"2026/6/23 12:07:15","0",,,,"否","空","","0","0","0","",""
"PrinterCleanupTask","\Microsoft\Windows\Printing\","Ready","2026/6/28 12:00:00","2026/5/29 12:00:01","0",,,,"否","空","","0","0","0","",""
"EduPrintProv","\Microsoft\Windows\Printing\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\eduprintprov.exe",,,"否","缺失","%windir%\system32\eduprintprov.exe","0","0","0","",""
"Sysprep Generalize Drivers","\Microsoft\Windows\Plug and Play\","Ready",,"1999/11/30 0:00:00","267011","%SystemRoot%\System32\drvinst.exe","6",,"否","缺失","%SystemRoot%\System32\drvinst.exe","0","0","0","",""
"ShowFeedbackToast","\Microsoft\Windows\PerformanceTrace\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"StartComponentCleanup","\Microsoft\Windows\Servicing\","Ready",,"2026/6/19 10:02:54","0",,,,"否","空","","0","0","0","",""
"WhesvcToast","\Microsoft\Windows\PerformanceTrace\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Device Install Reboot Required","\Microsoft\Windows\Plug and Play\","Ready",,"2026/6/22 16:42:13","0",,,,"否","空","","0","0","0","",""
"Device Install Group Policy","\Microsoft\Windows\Plug and Play\","Ready",,"2026/6/17 18:40:01","0",,,,"否","空","","0","0","0","",""
"CreateObjectTask","\Microsoft\Windows\Shell\","Ready",,"2026/6/22 9:00:24","0",,,,"否","空","","0","0","0","",""
"Account Cleanup","\Microsoft\Windows\SharedPC\","Disabled",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"FamilySafetyMonitor","\Microsoft\Windows\Shell\","Ready",,"1999/11/30 0:00:00","267011","%windir%\System32\wpcmon.exe",,,"否","缺失","%windir%\System32\wpcmon.exe","0","0","0","",""
"FamilySafetyRefreshTask","\Microsoft\Windows\Shell\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"IndexerAutomaticMaintenance","\Microsoft\Windows\Shell\","Ready",,"2026/6/23 12:04:43","0",,,,"否","空","","0","0","0","",""
"SetupRecoveryDataTask","\Microsoft\Windows\Setup\","Ready","2026/6/25 19:00:13","2026/6/13 20:11:27","0",,,,"否","空","","0","0","0","",""
"Initialization","\Microsoft\Windows\ReFsDedupSvc\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"VerifyWinRE","\Microsoft\Windows\RecoveryEnvironment\","Disabled",,"2025/11/17 10:50:49","0",,,,"否","空","","0","0","0","",""
"RegIdleBackup","\Microsoft\Windows\Registry\","Ready",,"2026/6/19 10:02:54","0",,,,"否","空","","0","0","0","",""
"PITRTask","\Microsoft\Windows\Setup\","Ready",,"2026/6/17 18:45:05","2147942450",,,,"否","空","","0","0","0","",""
"OOBEFodSetup","\Microsoft\Windows\Servicing\","Disabled",,"2025/11/3 9:33:49","0","%windir%\system32\OOBEFodSetup.exe",,,"否","缺失","%windir%\system32\OOBEFodSetup.exe","0","0","0","",""
"RequestTrace","\Microsoft\Windows\PerformanceTrace\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Cellular","\Microsoft\Windows\Management\Provisioning\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\ProvTool.exe","/turn 7 /source CellStateChangeTask",,"否","缺失","%windir%\system32\ProvTool.exe","0","0","0","",""
"RemediateHardwareChange","\Microsoft\Windows\Management\Autopilot\","Disabled",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Logon","\Microsoft\Windows\Management\Provisioning\","Ready",,"2026/6/23 5:17:23","0","%windir%\system32\ProvTool.exe","/turn 5 /source LogonIdleTask",,"否","缺失","%windir%\system32\ProvTool.exe","0","0","0","",""
"Retry","\Microsoft\Windows\Management\Provisioning\","Disabled",,"1999/11/30 0:00:00","267011","%windir%\system32\ProvTool.exe","/turn 5 /source ProvRetryTask",,"否","缺失","%windir%\system32\ProvTool.exe","0","0","0","",""
"MdmDiagnosticsCleanup","\Microsoft\Windows\Management\Provisioning\","Disabled",,"1999/11/30 0:00:00","267011","%windir%\system32\MdmDiagnosticsTool.exe","/clean",,"否","缺失","%windir%\system32\MdmDiagnosticsTool.exe","0","0","0","",""
"DetectHardwareChange","\Microsoft\Windows\Management\Autopilot\","Disabled",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Installation","\Microsoft\Windows\LanguageComponentsInstaller\","Ready",,"2026/6/23 16:57:13","0",,,,"否","空","","0","0","0","",""
"La57Cleanup","\Microsoft\Windows\Kernel\","Ready",,"2026/6/18 9:44:37","0","%windir%\system32\la57setup.exe",,,"否","缺失","%windir%\system32\la57setup.exe","0","0","0","",""
"ReconcileLanguageResources","\Microsoft\Windows\LanguageComponentsInstaller\","Ready",,"2026/6/23 18:42:13","0",,,,"否","空","","0","0","0","",""
"WinSAT","\Microsoft\Windows\Maintenance\","Ready",,"2026/6/23 12:07:14","0",,,,"否","空","","0","0","0","",""
"WindowsActionDialog","\Microsoft\Windows\Location\","Ready",,"1999/11/30 0:00:00","267011","%windir%\System32\WindowsActionDialog.exe",,,"否","缺失","%windir%\System32\WindowsActionDialog.exe","0","0","0","",""
"SystemSoundsService","\Microsoft\Windows\Multimedia\","Running",,"2026/6/22 16:42:13","267009",,,,"否","空","","0","0","0","",""
"LPRemove","\Microsoft\Windows\MUI\","Ready",,"2026/6/21 10:10:05","0","%windir%\system32\lpremove.exe",,,"否","缺失","%windir%\system32\lpremove.exe","0","0","0","",""
"NcsiIdentifyUserProxies","\Microsoft\Windows\Network Connectivity Status Indicator\","Ready",,"2026/6/22 16:42:13","0",,,,"否","空","","0","0","0","",""
